round,player 0 bankroll,player 1 bankroll,player 2 bankroll
302,880.0,1015.0,895.0
303,865.0,1000.0,880.0
304,865.0,1000.0,880.0
305,850.0,1000.0,865.0
306,835.0,1000.0,850.0
307,820.0,985.0,835.0
308,805.0,985.0,820.0
309,790.0,985.0,805.0
310,790.0,985.0,790.0
311,775.0,970.0,790.0
312,775.0,970.0,775.0
313,775.0,955.0,760.0
314,760.0,940.0,745.0
315,745.0,925.0,730.0
316,730.0,985.0,790.0
317,790.0,970.0,775.0
318,790.0,970.0,760.0
319,790.0,955.0,760.0
320,790.0,955.0,760.0
321,775.0,955.0,745.0
322,995.0,940.0,730.0
323,980.0,925.0,730.0
324,965.0,910.0,730.0
325,965.0,970.0,715.0
326,950.0,955.0,715.0
327,950.0,940.0,700.0
328,935.0,940.0,685.0
329,920.0,940.0,670.0
330,980.0,925.0,730.0
331,965.0,910.0,790.0
332,965.0,895.0,775.0
333,965.0,880.0,760.0
334,950.0,865.0,745.0
335,935.0,850.0,730.0
336,920.0,835.0,715.0
337,905.0,835.0,715.0
338,890.0,835.0,715.0
339,875.0,820.0,715.0
340,860.0,805.0,715.0
341,860.0,805.0,700.0
342,920.0,790.0,685.0
343,920.0,775.0,670.0
344,905.0,760.0,670.0
345,890.0,760.0,655.0
346,875.0,760.0,655.0
347,875.0,745.0,640.0
348,860.0,805.0,700.0
349,845.0,790.0,700.0
350,830.0,775.0,700.0
351,815.0,835.0,760.0
352,815.0,820.0,745.0
353,875.0,805.0,745.0
354,875.0,805.0,745.0
355,860.0,790.0,805.0
356,860.0,775.0,805.0
357,845.0,760.0,790.0
358,845.0,745.0,790.0
359,830.0,730.0,775.0
360,815.0,715.0,760.0
361,800.0,700.0,745.0
362,800.0,700.0,730.0
363,785.0,700.0,730.0
364,770.0,685.0,715.0
365,770.0,685.0,700.0
366,770.0,685.0,685.0
367,770.0,670.0,670.0
368,755.0,655.0,655.0
369,755.0,640.0,655.0
370,755.0,625.0,640.0
371,740.0,625.0,640.0
372,740.0,625.0,625.0
373,725.0,610.0,610.0
374,710.0,610.0,595.0
375,695.0,595.0,580.0
376,680.0,595.0,580.0
